個案研判日,縣市別,區域,新增確診人數,累計確診人數
2023-03-03,新北市,全區,2182,2079883
2023-03-03,新竹市,全區,236,226075
2023-03-03,新竹縣,全區,347,281413
2023-03-03,桃園市,全區,1253,1106878
2023-03-03,澎湖縣,全區,23,27814
2023-03-03,花蓮縣,全區,119,146307
2023-03-03,苗栗縣,全區,236,227432
2023-03-03,連江縣,全區,7,4048
2023-03-03,金門縣,全區,27,26507
2023-03-03,雲林縣,全區,217,206445
2023-03-03,高雄市,全區,1451,1128977
2023-03-02,南投縣,全區,216,162865
2023-03-02,台中市,全區,1714,1233698
2023-03-02,台北市,全區,1232,999289
2023-03-02,台南市,全區,1161,720875
2023-03-02,台東縣,全區,96,79434
2023-03-02,嘉義市,全區,118,96684
2023-03-02,嘉義縣,全區,180,150880
2023-03-02,基隆市,全區,223,180800
2023-03-02,境外移入,全區,227,55844
2023-03-02,宜蘭縣,全區,322,195279
2023-03-02,屏東縣,全區,346,277125
2023-03-02,彰化縣,全區,535,474684
2023-03-02,新北市,全區,2545,2077701
2023-03-02,新竹市,全區,383,225839
2023-03-02,新竹縣,全區,368,281066
2023-03-02,桃園市,全區,1664,1105625
2023-03-02,澎湖縣,全區,24,27791
2023-03-02,花蓮縣,全區,177,146188
2023-03-02,苗栗縣,全區,260,227196
2023-03-02,連江縣,全區,1,4041
2023-03-02,金門縣,全區,24,26480
2023-03-02,雲林縣,全區,254,206228
2023-03-02,高雄市,全區,1737,1127526
2023-03-01,南投縣,全區,233,162649
2023-03-01,台中市,全區,1740,1231984
2023-03-01,台北市,全區,1168,998057
2023-03-01,台南市,全區,1201,719714
2023-03-01,台東縣,全區,96,79338
2023-03-01,嘉義市,全區,151,96566
2023-03-01,嘉義縣,全區,201,150700
2023-03-01,基隆市,全區,201,180577
2023-03-01,境外移入,全區,224,55617
2023-03-01,宜蘭縣,全區,293,194957
2023-03-01,屏東縣,全區,361,276779
2023-03-01,彰化縣,全區,625,474149
2023-03-01,新北市,全區,2580,2075156
2023-03-01,新竹市,全區,277,225456
